Start Time:  06-02-2026 11:51:12          Time Completed:  06-02-2026 12:41:55      Elapsed Time:  00:50:42
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\NFCitrico@260203.txt
Plot File:     C:\IDEASVSM\LS_QC\NFCitrico@260203.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\NFCitrico@260203.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.00292583 	
 18000 	 0.00296016 	
 17000 	 0.0030044 	
 16000 	 0.00303775 	
 15000 	 0.00307764 	
 14000 	 0.00311827 	
 13000 	 0.0031726 	
 12000 	 0.00322131 	
 11000 	 0.00325406 	
 10000 	 0.00330976 	
 9000.01 	 0.00337535 	
 8000.4 	 0.00339939 	
 7000 	 0.00345021 	
 5999.98 	 0.00349397 	
 4999.98 	 0.00353826 	
 4000 	 0.00358852 	
 2999.31 	 0.00363027 	
 1999.99 	 0.0036195 	
 1000.01 	 0.00355535 	
 949.986 	 0.00356379 	
 899.995 	 0.00353094 	
 849.992 	 0.00351805 	
 799.999 	 0.00350719 	
 750.004 	 0.00347917 	
 699.998 	 0.00346043 	
 649.997 	 0.00343482 	
 600.006 	 0.00341736 	
 550 	 0.00338019 	
 500.003 	 0.00333716 	
 450 	 0.00330014 	
 400.012 	 0.00326293 	
 350.004 	 0.00317001 	
 299.992 	 0.00306886 	
 249.988 	 0.002932 	
 199.986 	 0.00276738 	
 190.005 	 0.00267969 	
 180.005 	 0.00261076 	
 169.996 	 0.00254499 	
 159.996 	 0.00248198 	
 150.007 	 0.00241907 	
 139.998 	 0.00235025 	
 129.987 	 0.00227994 	
 119.997 	 0.00222194 	
 109.996 	 0.00213964 	
 100.004 	 0.0020613 	
 89.9986 	 0.00198943 	
 80.0001 	 0.00191522 	
 70.0066 	 0.00184082 	
 60 	 0.00174877 	
 50.0064 	 0.00165397 	
 39.9875 	 0.00157221 	
 30.0018 	 0.00147947 	
 19.9953 	 0.00137481 	
 18.0022 	 0.00124746 	
 15.9994 	 0.00121477 	
 14.0006 	 0.0011765 	
 11.9965 	 0.00112921 	
 9.99902 	 0.00106454 	
 8.0191 	 0.000981407 	
 5.98682 	 0.000868861 	
 3.99639 	 0.000692858 	
 2.00267 	 0.000462249 	
-0.01003 	 0.00000911825 	
-1.99139 	-0.000220916 	
-3.993 	-0.000268969 	
-6.00142 	-0.000307924 	
-7.99963 	-0.000351793 	
-10.0018 	-0.000396381 	
-11.9973 	-0.000443991 	
-13.9962 	-0.000520853 	
-15.9993 	-0.000559945 	
-18.0014 	-0.000603175 	
-19.9979 	-0.000646577 	
-30.0022 	-0.000767667 	
-40.0105 	-0.000928322 	
-50.0029 	-0.00110464 	
-59.999 	-0.00126351 	
-69.9941 	-0.00139851 	
-79.9982 	-0.00151477 	
-90.001 	-0.00160806 	
-100.003 	-0.00169215 	
-110.003 	-0.00176876 	
-120.005 	-0.00184468 	
-129.998 	-0.00194455 	
-140.013 	-0.00200206 	
-150.001 	-0.00206074 	
-160.002 	-0.00212396 	
-170.008 	-0.0021864 	
-180.006 	-0.00224398 	
-189.998 	-0.00230624 	
-200.003 	-0.00236027 	
-249.994 	-0.00256796 	
-300.009 	-0.00275583 	
-349.997 	-0.00291132 	
-399.999 	-0.00304384 	
-450.002 	-0.00313703 	
-500.001 	-0.00321799 	
-550.004 	-0.00327924 	
-600 	-0.00333418 	
-649.999 	-0.0033832 	
-700.003 	-0.00341202 	
-750.003 	-0.0034392 	
-799.997 	-0.0034637 	
-850.008 	-0.0034824 	
-900.005 	-0.00348785 	
-949.997 	-0.0034953 	
-1000 	-0.00351851 	
-2000 	-0.00359967 	
-3000.02 	-0.0036018 	
-4000.01 	-0.00357829 	
-5000.01 	-0.00353895 	
-6000.01 	-0.00348621 	
-7000.01 	-0.00344175 	
-8000.03 	-0.00339086 	
-8999.99 	-0.0033384 	
-10000 	-0.00327551 	
-11000 	-0.00321912 	
-12000 	-0.003171 	
-13000 	-0.00311833 	
-14000 	-0.00307433 	
-15000 	-0.00302929 	
-16000 	-0.00298107 	
-17000 	-0.00294062 	
-18000 	-0.00290022 	
-19000 	-0.00285832 	
-18000 	-0.00288812 	
-17000 	-0.00292762 	
-16000 	-0.00296908 	
-15000 	-0.0030065 	
-14000 	-0.00305166 	
-13000 	-0.00310346 	
-12000 	-0.00314776 	
-11000 	-0.00319275 	
-9999.99 	-0.00323027 	
-9000 	-0.003272 	
-7999.98 	-0.00331479 	
-7000.01 	-0.0033608 	
-5999.99 	-0.00341647 	
-4999.99 	-0.0035045 	
-4000 	-0.00353607 	
-2999.76 	-0.00356788 	
-2000 	-0.0035568 	
-999.986 	-0.00348563 	
-949.996 	-0.00349559 	
-899.992 	-0.00347192 	
-850.005 	-0.00346275 	
-799.996 	-0.00344477 	
-749.993 	-0.00341851 	
-699.996 	-0.00339984 	
-649.989 	-0.00339485 	
-599.998 	-0.00339539 	
-549.999 	-0.00335784 	
-499.991 	-0.00330879 	
-449.996 	-0.00328455 	
-399.992 	-0.0032261 	
-350.008 	-0.00314374 	
-299.995 	-0.00305757 	
-249.997 	-0.00292124 	
-199.999 	-0.00275639 	
-189.992 	-0.00270525 	
-179.994 	-0.00265253 	
-170.002 	-0.00259547 	
-159.996 	-0.00253796 	
-150.001 	-0.00247274 	
-139.997 	-0.00240656 	
-129.988 	-0.00234394 	
-119.998 	-0.0022802 	
-109.995 	-0.00220585 	
-99.9977 	-0.00213846 	
-89.9963 	-0.00204929 	
-79.9984 	-0.00196805 	
-70.006 	-0.0018866 	
-60.001 	-0.00180238 	
-49.9945 	-0.00171795 	
-40.005 	-0.00163634 	
-29.9969 	-0.00154494 	
-20.0033 	-0.00143375 	
-18.0046 	-0.00138301 	
-16.0096 	-0.00133031 	
-14.0054 	-0.00127639 	
-12.0079 	-0.00121233 	
-9.9932 	-0.0011348 	
-7.99648 	-0.00103571 	
-6.00539 	-0.000918726 	
-3.99932 	-0.000755211 	
-1.99537 	-0.000536262 	
-0.00380053 	-0.000179033 	
 1.99277 	 0.0000968465 	
 4.01003 	 0.000147749 	
 6.0001 	 0.000198905 	
 7.99168 	 0.000243087 	
 9.99981 	 0.000288435 	
 12.001 	 0.000335031 	
 13.9965 	 0.000383219 	
 15.9919 	 0.000434504 	
 17.9976 	 0.000476578 	
 20.0087 	 0.000562731 	
 29.9977 	 0.000682254 	
 40.0057 	 0.000824188 	
 50.0014 	 0.000999238 	
 60.0083 	 0.00115751 	
 70.0095 	 0.00129177 	
 80.0095 	 0.00141279 	
 90.0044 	 0.0015108 	
 99.9995 	 0.00159722 	
 109.999 	 0.00167712 	
 120.004 	 0.00175059 	
 129.993 	 0.00182507 	
 140.003 	 0.00189038 	
 149.997 	 0.00195933 	
 160.007 	 0.00202111 	
 170 	 0.0020894 	
 180 	 0.00214882 	
 189.998 	 0.00220461 	
 200.01 	 0.00225941 	
 250.005 	 0.00246508 	
 300.005 	 0.00264855 	
 350.01 	 0.0027906 	
 400.006 	 0.00291668 	
 450.008 	 0.00300831 	
 500.015 	 0.00308932 	
 550 	 0.00314815 	
 599.998 	 0.0032039 	
 650.006 	 0.00323495 	
 700.007 	 0.0032731 	
 750.001 	 0.00330148 	
 800.002 	 0.00332419 	
 850.007 	 0.0033544 	
 900.009 	 0.00336633 	
 949.996 	 0.00338057 	
 1000 	 0.00339177 	
 2000.01 	 0.00347952 	
 3000.01 	 0.00351635 	
 3999.99 	 0.00348748 	
 4999.99 	 0.00345714 	
 6000.01 	 0.00340333 	
 7000.04 	 0.00335358 	
 8000.03 	 0.00330222 	
 8999.99 	 0.00324516 	
 10000 	 0.00318074 	
 11000 	 0.00314158 	
 12000 	 0.00308589 	
 13000 	 0.00304504 	
 14000 	 0.00300074 	
 15000 	 0.00295054 	
 16000 	 0.00289971 	
 17000 	 0.00284347 	
 18000 	 0.00280896 	
 19000 	 0.00276671 	

	
	
